abbreviation,full_name,bg_name,bg_version,apocrypha,testament,notes
Ecclus.,Sirach,Sirach,NRSVUE,true,Apocrypha,"Ecclesiasticus — not in KJV; use NRSVUE. NOT the same as Eccles. (Ecclesiastes, canonical OT)"
Wisdom,Wisdom of Solomon,Wisdom+of+Solomon,NRSVUE,true,Apocrypha,Not in KJV — use NRSVUE
Baruch,Baruch,Baruch,NRSVUE,true,Apocrypha,Not in KJV — use NRSVUE
I Macc.,1 Maccabees,1+Maccabees,NRSVUE,true,Apocrypha,Not in KJV — use NRSVUE
II Macc.,2 Maccabees,2+Maccabees,NRSVUE,true,Apocrypha,Not in KJV — use NRSVUE
Romans,Romans,Romans,KJV,false,NT,Full name form used in propers file (13_collects-epistles-gospels.md)
Corinthians,Corinthians,Corinthians,KJV,false,NT,Rare — usually prefixed I/II; included for safety
Galatians,Galatians,Galatians,KJV,false,NT,Full name form used in propers file
Ephesians,Ephesians,Ephesians,KJV,false,NT,Full name form used in propers file
Philippians,Philippians,Philippians,KJV,false,NT,Full name form used in propers file
Colossians,Colossians,Colossians,KJV,false,NT,Full name form used in propers file
Thessalonians,Thessalonians,Thessalonians,KJV,false,NT,Rare — usually prefixed I/II; included for safety
Timothy,Timothy,Timothy,KJV,false,NT,Rare — usually prefixed I/II; included for safety
Hebrews,Hebrews,Hebrews,KJV,false,NT,Full name form used in propers file
Revelation,Revelation,Revelation,KJV,false,NT,Full name form used in propers file
Isaiah,Isaiah,Isaiah,KJV,false,OT,Full name form used in propers file
Jeremiah,Jeremiah,Jeremiah,KJV,false,OT,Full name form used in propers file
Joel,Joel,Joel,KJV,false,OT,Same as abbreviated form
Malachi,Malachi,Malachi,KJV,false,OT,Same as abbreviated form
Titus,Titus,Titus,KJV,false,NT,Same as abbreviated form (already in table — duplicate safe)
